municipality_name,municipality_type,ward_no,latitude,longitude,population,household_size,households,road_distance_km,highway_distance_km,hospital_distance_km,school_distance_km,bank_distance_km,market_distance_km,bus_stop_distance_km,tourist_distance_km,electricity_access_pct,internet_access_pct,water_access_pct,average_income_npr,land_price_per_kattha_npr,rent_price_npr,commercial_buildings,industries,agriculture_pct,footfall_index,crime_rate_index,flood_risk_index,landslide_risk_index,purchasing_power_index,business_density,urbanization_rate,development_index,investment_score,recommended_business,business_success_probability
Devdaha,Semi-Urban,1,27.549816,83.675357,3018,4.66,648,3.02,4.06,7.53,1.42,2.21,1.93,1.08,0.24,76.94,79.26,93.16,5000.0,5772779.49,7889.97,7,3,48.97,101.19,2.89,0.23,1.22,5.62,2.32,100.0,73.13,50.76,Stationery Shop,0.7117
Omsatiya,Rural,2,27.439069,83.542117,791,5.74,137,2.68,11.29,5.9,3.81,1.12,2.34,4.39,11.99,86.08,33.43,68.27,10607.39,1424124.63,2539.36,15,1,62.37,23.24,1.19,0.75,1.97,29.97,15.0,41.02,54.64,25.1,Dairy Farm,0.8856
Mayadevi,Rural,3,27.402209,83.607731,1612,6.16,261,4.86,7.17,8.88,1.24,10.3,4.64,3.18,17.97,92.7,12.04,82.52,12810.85,1939357.0,3972.96,13,2,83.38,53.72,0.76,4.28,0.05,25.76,8.06,58.55,49.01,27.9,Stationery Shop,0.8075
Devdaha,Semi-Urban,11,27.603428,83.653783,2072,5.26,394,0.0,1.88,3.75,2.92,3.49,1.97,2.51,11.72,90.49,79.53,77.98,6473.51,3609455.16,10888.36,55,5,36.48,21.69,2.08,0.6,0.68,5.45,26.54,100.0,75.51,34.96,Tailoring Shop,0.4551
Tilottama,Urban,14,27.607516,83.551509,5386,4.96,1085,0.46,1.48,0.51,0.46,0.21,0.85,0.37,12.41,96.68,90.02,97.39,39252.91,17892508.9,27718.57,199,18,4.25,68.37,5.16,3.64,0.74,13.67,36.95,100.0,88.72,69.39,Medical Supply Store,0.8527
Siddharthanagar,Urban,1,27.61431,83.245145,4259,4.19,1017,0.96,1.6,1.24,0.22,1.05,0.27,0.64,11.78,96.16,97.75,91.08,53135.17,13845678.42,26819.68,265,6,10.92,83.9,5.17,1.7,0.7,19.1,62.22,100.0,88.08,77.28,Medical Supply Store,0.95
Tilottama,Urban,7,27.754835,83.589938,3979,4.16,956,0.62,1.73,3.27,1.09,0.03,1.32,0.9,3.7,99.47,85.23,91.24,52699.77,26341947.61,28395.89,247,10,10.73,59.45,2.84,1.22,1.95,17.93,62.08,100.0,86.64,71.18,Tutoring Center,0.8686
Mayadevi,Rural,1,27.652455,83.597406,2293,5.74,399,3.19,10.5,7.71,1.89,8.45,4.55,5.43,0.15,82.1,28.54,57.3,15767.43,2685119.04,3214.09,3,1,83.85,11.16,1.62,6.15,1.98,37.42,1.31,74.83,43.74,20.18,Cold Storage,0.6283
Marchawari,Rural,6,27.750949,83.570384,1633,5.54,294,5.11,11.62,8.98,3.96,7.77,5.05,5.74,24.88,96.56,30.15,89.96,19161.48,2140944.74,1847.43,2,1,71.44,19.6,1.07,5.43,0.57,67.29,1.22,58.36,58.24,25.36,Cold Storage,0.95
Kanchan,Rural,2,27.414939,83.6113,842,5.78,145,2.33,5.14,15.4,2.4,7.65,5.09,2.7,16.86,100.0,42.68,39.62,14691.07,2681946.67,2207.48,9,1,88.66,8.0,1.23,1.56,0.5,45.8,9.0,32.26,45.64,29.66,Fertilizer Store,0.95
